Name,Age,Gender,Country,State,City,Parent_Occupation,Earning_Class,Level_Student,Level_Course,Course_Name,Time_Per_Day,Material_Level,IQ,Assessment_Score,Promotion_Status
Student_1,12,Female,Canada,Alberta,Calgary,Service Worker,High,Middle School,Beginner,Science,228,Medium,75,72,Yes
Student_2,9,Female,USA,Illinois,Chicago,Engineer,Low,Elementary,Intermediate,Science,148,Hard,94,63,Yes
Student_3,16,Male,India,Uttar Pradesh,Lucknow,Business Owner,Middle,High School,Beginner,Science,136,Easy,108,94,Yes
Student_4,13,Female,India,Tamil Nadu,Coimbatore,Service Worker,Middle,Middle School,Beginner,Literature,135,Easy,84,85,Yes
Student_5,10,Male,Australia,Victoria,Melbourne,Business Owner,Middle,Elementary,Intermediate,Math,124,Hard,95,83,Yes
Student_6,12,Female,UK,England,London,Artist,Middle,Middle School,Advanced,Music,22,Easy,70,57,Yes
Student_7,15,Male,India,Uttar Pradesh,Lucknow,Other,Low,High School,Intermediate,Computer Science,65,Hard,79,57,Yes
Student_8,8,Male,UK,Wales,Cardiff,Unemployed,Low,Elementary,Advanced,Math,74,Hard,83,62,Yes
Student_9,12,Female,Canada,Quebec,Montreal,Service Worker,Middle,Middle School,Advanced,Literature,94,Medium,101,65,Yes
Student_10,16,Other,USA,Texas,Austin,Service Worker,Middle,High School,Intermediate,Science,235,Hard,105,74,Yes
Student_11,16,Female,Australia,Western Australia,Perth,Service Worker,Low,High School,Beginner,History,233,Easy,99,89,Yes
Student_12,13,Female,UK,Northern Ireland,Belfast,Teacher,Middle,Middle School,Intermediate,Science,211,Medium,94,69,Yes
Student_13,10,Female,India,Karnataka,Mysore,Artist,Middle,Elementary,Advanced,Computer Science,64,Medium,94,61,Yes
Student_14,9,Male,UK,Wales,Cardiff,Engineer,Middle,Elementary,Intermediate,Art,173,Medium,110,70,Yes
Student_15,13,Other,India,Delhi,Delhi,Business Owner,Middle,Middle School,Intermediate,History,96,Hard,103,55,Yes
Student_16,13,Female,UK,Wales,Cardiff,Business Owner,Low,Middle School,Advanced,Science,212,Easy,94,86,Yes
Student_17,8,Female,India,Uttar Pradesh,Lucknow,Teacher,Low,Elementary,Beginner,Music,43,Medium,119,67,Yes
Student_18,11,Female,Canada,Ontario,Ottawa,Other,Middle,Middle School,Intermediate,History,221,Medium,129,78,Yes
Student_19,10,Female,India,Uttar Pradesh,Kanpur,Other,Middle,Elementary,Advanced,Art,54,Medium,81,66,Yes
Student_20,7,Female,India,Delhi,Delhi,Admin,Middle,Elementary,Advanced,Math,43,Easy,107,74,Yes
Student_21,13,Male,USA,California,San Francisco,Business Owner,Middle,Middle School,Intermediate,Literature,47,Medium,145,77,Yes
Student_22,17,Female,India,Uttar Pradesh,Lucknow,Unemployed,Middle,High School,Beginner,Science,227,Hard,104,79,Yes
Student_23,11,Male,USA,California,Los Angeles,Engineer,High,Middle School,Intermediate,Computer Science,35,Easy,101,68,Yes
Student_24,7,Other,Australia,Western Australia,Perth,Admin,Middle,Elementary,Beginner,Math,78,Hard,99,46,No
Student_25,17,Female,USA,Florida,Miami,Engineer,Middle,High School,Beginner,Science,228,Medium,107,89,Yes
Student_26,10,Male,Canada,British Columbia,Victoria,Admin,Middle,Elementary,Beginner,Math,201,Medium,111,72,Yes
Student_27,6,Female,USA,New York,New York City,Teacher,Low,Elementary,Beginner,Computer Science,226,Medium,81,65,Yes
Student_28,17,Female,Australia,Queensland,Brisbane,Unemployed,Middle,High School,Intermediate,Science,163,Easy,99,72,Yes
Student_29,15,Female,Canada,Ontario,Toronto,Other,Low,High School,Advanced,Art,34,Medium,70,58,Yes
Student_30,11,Female,UK,Scotland,Edinburgh,Engineer,High,Middle School,Advanced,Art,30,Hard,96,58,Yes
Student_31,17,Male,UK,Northern Ireland,Belfast,Business Owner,Middle,High School,Advanced,Computer Science,212,Medium,86,79,Yes
Student_32,14,Female,USA,Illinois,Chicago,Other,Middle,Middle School,Advanced,History,98,Hard,105,80,Yes
Student_33,6,Female,USA,Illinois,Chicago,Business Owner,Middle,Elementary,Advanced,Computer Science,237,Medium,75,64,Yes
Student_34,16,Male,Australia,Queensland,Brisbane,Unemployed,Low,High School,Advanced,History,134,Easy,92,67,Yes
Student_35,16,Female,Australia,Queensland,Brisbane,Service Worker,Low,High School,Intermediate,Science,87,Medium,114,69,Yes
Student_36,15,Male,India,Maharashtra,Nagpur,Doctor,Middle,High School,Beginner,History,62,Hard,89,63,Yes
Student_37,17,Male,Australia,Western Australia,Perth,Teacher,Low,High School,Advanced,Science,88,Medium,71,60,Yes
Student_38,17,Female,India,Maharashtra,Nagpur,Teacher,Middle,High School,Intermediate,Science,160,Hard,103,65,Yes
Student_39,8,Female,Canada,Quebec,Quebec City,Admin,Middle,Elementary,Advanced,Music,157,Hard,91,55,Yes
Student_40,17,Male,USA,Florida,Orlando,Artist,Middle,High School,Advanced,Literature,94,Medium,97,51,Yes
Student_41,12,Female,Canada,British Columbia,Vancouver,Business Owner,Middle,Middle School,Beginner,Science,229,Easy,89,70,Yes
Student_42,9,Male,Australia,Victoria,Melbourne,Business Owner,Low,Elementary,Beginner,History,122,Medium,129,90,Yes
Student_43,14,Male,Canada,Quebec,Quebec City,Service Worker,Middle,Middle School,Beginner,Literature,60,Medium,76,64,Yes
Student_44,8,Male,Canada,British Columbia,Vancouver,Unemployed,Middle,Elementary,Advanced,Literature,197,Medium,142,86,Yes
Student_45,10,Male,Canada,Quebec,Montreal,Other,Low,Elementary,Advanced,Science,234,Medium,94,81,Yes
Student_46,8,Male,Australia,NSW,Sydney,Artist,Middle,Elementary,Advanced,Computer Science,218,Medium,102,66,Yes
Student_47,12,Female,Canada,Quebec,Montreal,Unemployed,Low,Middle School,Beginner,Computer Science,78,Medium,91,67,Yes
Student_48,10,Female,India,Tamil Nadu,Chennai,Admin,Middle,Elementary,Intermediate,Art,58,Medium,90,51,Yes
Student_49,14,Male,Australia,NSW,Sydney,Service Worker,High,Middle School,Advanced,Literature,22,Medium,88,65,Yes
Student_50,12,Female,Canada,Quebec,Montreal,Other,Low,Middle School,Advanced,Science,223,Medium,109,81,Yes
Student_51,7,Female,Australia,Western Australia,Perth,Teacher,Middle,Elementary,Advanced,Music,26,Medium,78,62,Yes
Student_52,9,Male,UK,England,Manchester,Engineer,Middle,Elementary,Intermediate,Computer Science,68,Medium,105,79,Yes
Student_53,14,Female,India,Maharashtra,Pune,Unemployed,High,Middle School,Advanced,Music,45,Hard,70,59,Yes
Student_54,17,Other,Canada,Alberta,Calgary,Business Owner,Middle,High School,Intermediate,Science,180,Medium,104,66,Yes
Student_55,7,Male,UK,Northern Ireland,Belfast,Unemployed,Middle,Elementary,Advanced,Science,120,Medium,112,84,Yes
Student_56,15,Male,UK,Scotland,Edinburgh,Unemployed,Low,High School,Intermediate,Literature,195,Medium,80,67,Yes
Student_57,14,Female,Australia,Victoria,Melbourne,Engineer,Low,Middle School,Advanced,Music,98,Easy,110,62,Yes
